X1,X2,X3
580,0.32,61
650,0.34,63.4
630,0.3,63.1
706,0.35,59.2
1080,0.4,62.6
3082,0.6,62.5
3328,0.88,61.7
4229,0.93,61.4
1895,0.51,63.4
3546,1.01,63.9
752,0.3,63.6
13003,2.01,59.5
814,0.3,62.4
6115,1,63.4
645,0.32,61.4
3749,1.01,61.7
2926,0.81,63.6
765,0.4,61.6
1140,0.31,60.6
1158,0.4,61.7
521,0.31,64
6122,1.04,60
5096,1.21,61.9
9465,1.04,61.7
3225,0.68,61.9
743,0.33,60.2
1273,0.55,62
3830,1.14,62.2
16386,2.02,65
1866,0.59,61.2
709,0.3,62.2
8167,1.22,62.6
658,0.3,61.8
4502,0.9,62.3
1970,0.61,60.5
596,0.34,61.8
15938,2.06,59
18080,2.32,62.6
802,0.31,62
545,0.3,61.4
1286,0.5,62.7
549,0.38,62.4
5105,1.03,59.2
1845,0.5,63.8
2262,0.71,60.3
666,0.33,62
8974,1.5,60.1
4877,1.11,60.1
5057,0.91,62.8
819,0.3,61.1
1218,0.38,62.2
1431,0.41,62.4
14372,1.5,61.3
906,0.35,60.5
8202,1.07,62.5
2898,0.79,62.3
1740,0.71,62
1235,0.57,60.1
688,0.41,61.7
3774,0.83,61.8
1656,0.51,61
13427,1.68,61.3
965,0.3,63.7
10090,1.3,60.4
17904,1.74,62.4
547,0.26,64.3
439,0.23,59.9
3115,0.7,60.3
12468,1.5,62.6
3761,1.01,60.5
1636,0.51,62
3199,1,56.3
5433,1.01,62.9
1378,0.46,60
730,0.34,60
904,0.43,61.5
942,0.31,61.3
452,0.3,62.7
5893,1.21,63.6
6247,1.01,58.7
3145,0.71,60.1
5242,1,61.9
4334,0.88,62
914,0.31,62.2
932,0.36,62.2
2729,0.77,61.3
3633,1.02,66.6
2835,0.63,61.9
4989,1.01,63.6
1264,0.43,62.3
882,0.38,62
8647,1.01,61.1
3649,0.73,61.7
810,0.4,62.6
5102,1.04,62.3
7239,1.39,60.8
6777,1.08,60.6
3662,0.9,62.6
